Instancia,d,Algoritmo,Seed,Seeds,Runs,BestKnown,MelhorDas10,MediaMelhor10,TempoMedioSeg10,RPD_Melhor(%),RPD_Media(%)
crd100,2,guloso,0,0-9,10,7063,7987,7987.000000,0.106858,13.082260,13.082260
crd100,2,grasp_alpha=0.100000,1768824599,1768824599-1768824608,10,7063,393,393.000000,0.169215,-94.435792,-94.435792
crd100,2,grasp_alpha=0.300000,1768824599,1768824599-1768824608,10,7063,393,393.000000,0.154334,-94.435792,-94.435792
crd100,2,grasp_alpha=0.500000,1768824599,1768824599-1768824608,10,7063,393,393.000000,0.152326,-94.435792,-94.435792
crd100,2,grasp_reativo,1768824599,1768824599-1768824608,10,7063,10225,10699.300000,1.854747,44.768512,51.483789
crd100,3,guloso,0,0-9,10,6196,6155,6155.000000,0.080753,-0.661717,-0.661717
crd100,3,grasp_alpha=0.100000,1768824599,1768824599-1768824608,10,6196,301,301.000000,0.083903,-95.142027,-95.142027
crd100,3,grasp_alpha=0.300000,1768824599,1768824599-1768824608,10,6196,301,301.000000,0.068801,-95.142027,-95.142027
crd100,3,grasp_alpha=0.500000,1768824599,1768824599-1768824608,10,6196,301,301.000000,0.414960,-95.142027,-95.142027
crd100,3,grasp_reativo,1768824599,1768824599-1768824608,10,6196,8850,9042.000000,16.960236,42.834087,45.932860
crd100,4,guloso,0,0-9,10,6194,6154,6154.000000,0.046572,-0.645786,-0.645786
crd100,4,grasp_alpha=0.100000,1768824599,1768824599-1768824608,10,6194,393,393.000000,0.082600,-93.655150,-93.655150
crd100,4,grasp_alpha=0.300000,1768824599,1768824599-1768824608,10,6194,393,393.000000,0.148304,-93.655150,-93.655150
crd100,4,grasp_alpha=0.500000,1768824599,1768824599-1768824608,10,6194,393,393.000000,0.397126,-93.655150,-93.655150
crd100,4,grasp_reativo,1768824599,1768824599-1768824608,10,6194,9027,9221.400000,22.795529,45.737811,48.876332
crd100,5,guloso,0,0-9,10,6194,6154,6154.000000,0.043494,-0.645786,-0.645786
crd100,5,grasp_alpha=0.100000,1768824599,1768824599-1768824608,10,6194,1149,1149.000000,0.228300,-81.449790,-81.449790
crd100,5,grasp_alpha=0.300000,1768824599,1768824599-1768824608,10,6194,840,840.000000,0.457902,-86.438489,-86.438489
crd100,5,grasp_alpha=0.500000,1768824599,1768824599-1768824608,10,6194,521,537.000000,0.444403,-91.588634,-91.330320
