Instancia,d,Algoritmo,Run,Seed,MelhorCusto,IteracaoMelhor,Alpha,TempoSeg
crd100,2,guloso,0,12345,7987,0,0.000000,0.074576
crd100,2,guloso,1,12346,7987,0,0.000000,0.079203
crd100,2,guloso,2,12347,7987,0,0.000000,0.099179
crd100,2,guloso,3,12348,7987,0,0.000000,0.103672
crd100,2,guloso,4,12349,7987,0,0.000000,0.102614
crd100,2,guloso,5,12350,7987,0,0.000000,0.094433
crd100,2,guloso,6,12351,7987,0,0.000000,0.096157
crd100,2,guloso,7,12352,7987,0,0.000000,0.100751
crd100,2,guloso,8,12353,7987,0,0.000000,0.127723
crd100,2,guloso,9,12354,7987,0,0.000000,0.121759
crd100,2,grasp_alpha=0.100000,0,12345,393,0,0.100000,0.267768
crd100,2,grasp_alpha=0.100000,1,12346,393,0,0.100000,0.209611
crd100,2,grasp_alpha=0.100000,2,12347,393,0,0.100000,0.270345
crd100,2,grasp_alpha=0.100000,3,12348,393,0,0.100000,0.234707
crd100,2,grasp_alpha=0.100000,4,12349,393,0,0.100000,0.233449
crd100,2,grasp_alpha=0.100000,5,12350,393,0,0.100000,0.212908
crd100,2,grasp_alpha=0.100000,6,12351,393,0,0.100000,0.224000
crd100,2,grasp_alpha=0.100000,7,12352,393,0,0.100000,0.234567
crd100,2,grasp_alpha=0.100000,8,12353,393,0,0.100000,0.182803
crd100,2,grasp_alpha=0.100000,9,12354,393,0,0.100000,0.177786
crd100,2,grasp_alpha=0.300000,0,12345,393,0,0.300000,0.164216
crd100,2,grasp_alpha=0.300000,1,12346,393,0,0.300000,0.165752
crd100,2,grasp_alpha=0.300000,2,12347,393,0,0.300000,0.172000
crd100,2,grasp_alpha=0.300000,3,12348,393,0,0.300000,0.148001
crd100,2,grasp_alpha=0.300000,4,12349,393,0,0.300000,0.137001
crd100,2,grasp_alpha=0.300000,5,12350,393,0,0.300000,0.141000
crd100,2,grasp_alpha=0.300000,6,12351,393,0,0.300000,0.186768
crd100,2,grasp_alpha=0.300000,7,12352,393,0,0.300000,0.159098
crd100,2,grasp_alpha=0.300000,8,12353,393,0,0.300000,0.156050
crd100,2,grasp_alpha=0.300000,9,12354,393,0,0.300000,0.141879
crd100,2,grasp_alpha=0.500000,0,12345,393,0,0.500000,0.175430
crd100,2,grasp_alpha=0.500000,1,12346,393,0,0.500000,0.177797
crd100,2,grasp_alpha=0.500000,2,12347,393,0,0.500000,0.159649
crd100,2,grasp_alpha=0.500000,3,12348,393,0,0.500000,0.162988
crd100,2,grasp_alpha=0.500000,4,12349,393,0,0.500000,0.185107
crd100,2,grasp_alpha=0.500000,5,12350,393,0,0.500000,0.174590
crd100,2,grasp_alpha=0.500000,6,12351,393,0,0.500000,0.180102
crd100,2,grasp_alpha=0.500000,7,12352,393,0,0.500000,0.202347
crd100,2,grasp_alpha=0.500000,8,12353,393,0,0.500000,0.169334
crd100,2,grasp_alpha=0.500000,9,12354,393,0,0.500000,0.159221
crd100,2,grasp_reativo,0,12345,10471,129,0.100000,1.821997
crd100,2,grasp_reativo,1,12346,10911,128,0.100000,1.808000
crd100,2,grasp_reativo,2,12347,10550,293,0.100000,1.820000
crd100,2,grasp_reativo,3,12348,10836,181,0.100000,1.811008
crd100,2,grasp_reativo,4,12349,10784,19,0.100000,1.808001
crd100,2,grasp_reativo,5,12350,10150,48,0.100000,1.810998
crd100,2,grasp_reativo,6,12351,10420,230,0.100000,1.814000
crd100,2,grasp_reativo,7,12352,10982,3,0.100000,1.814000
crd100,2,grasp_reativo,8,12353,10631,266,0.100000,1.822999
crd100,2,grasp_reativo,9,12354,10593,281,0.100000,1.814000
crd100,3,guloso,0,12345,6155,0,0.000000,0.075558
crd100,3,guloso,1,12346,6155,0,0.000000,0.095928
crd100,3,guloso,2,12347,6155,0,0.000000,0.104801
crd100,3,guloso,3,12348,6155,0,0.000000,0.084043
crd100,3,guloso,4,12349,6155,0,0.000000,0.076571
crd100,3,guloso,5,12350,6155,0,0.000000,0.075501
crd100,3,guloso,6,12351,6155,0,0.000000,0.075526
crd100,3,guloso,7,12352,6155,0,0.000000,0.093641
crd100,3,guloso,8,12353,6155,0,0.000000,0.093065
crd100,3,guloso,9,12354,6155,0,0.000000,0.099769
crd100,3,grasp_alpha=0.100000,0,12345,301,0,0.100000,0.155087
crd100,3,grasp_alpha=0.100000,1,12346,301,0,0.100000,0.227039
crd100,3,grasp_alpha=0.100000,2,12347,301,0,0.100000,0.153365
crd100,3,grasp_alpha=0.100000,3,12348,301,0,0.100000,0.071221
crd100,3,grasp_alpha=0.100000,4,12349,301,0,0.100000,0.066999
crd100,3,grasp_alpha=0.100000,5,12350,301,0,0.100000,0.067001
crd100,3,grasp_alpha=0.100000,6,12351,301,0,0.100000,0.064001
crd100,3,grasp_alpha=0.100000,7,12352,301,0,0.100000,0.063999
crd100,3,grasp_alpha=0.100000,8,12353,301,0,0.100000,0.059999
crd100,3,grasp_alpha=0.100000,9,12354,301,0,0.100000,0.062000
crd100,3,grasp_alpha=0.300000,0,12345,301,0,0.300000,0.061000
crd100,3,grasp_alpha=0.300000,1,12346,301,0,0.300000,0.060001
crd100,3,grasp_alpha=0.300000,2,12347,301,0,0.300000,0.062999
crd100,3,grasp_alpha=0.300000,3,12348,301,0,0.300000,0.064000
crd100,3,grasp_alpha=0.300000,4,12349,301,0,0.300000,0.060999
crd100,3,grasp_alpha=0.300000,5,12350,301,0,0.300000,0.061999
crd100,3,grasp_alpha=0.300000,6,12351,301,0,0.300000,0.067000
crd100,3,grasp_alpha=0.300000,7,12352,301,0,0.300000,0.064001
crd100,3,grasp_alpha=0.300000,8,12353,301,0,0.300000,0.064000
crd100,3,grasp_alpha=0.300000,9,12354,301,0,0.300000,0.062000
crd100,3,grasp_alpha=0.500000,0,12345,301,0,0.500000,0.427001
crd100,3,grasp_alpha=0.500000,1,12346,301,2,0.500000,0.354000
crd100,3,grasp_alpha=0.500000,2,12347,301,0,0.500000,0.359000
crd100,3,grasp_alpha=0.500000,3,12348,301,4,0.500000,0.421999
crd100,3,grasp_alpha=0.500000,4,12349,301,2,0.500000,0.441000
crd100,3,grasp_alpha=0.500000,5,12350,301,0,0.500000,0.414000
crd100,3,grasp_alpha=0.500000,6,12351,301,2,0.500000,0.481998
crd100,3,grasp_alpha=0.500000,7,12352,301,4,0.500000,0.383001
crd100,3,grasp_alpha=0.500000,8,12353,301,0,0.500000,0.388999
crd100,3,grasp_alpha=0.500000,9,12354,301,3,0.500000,0.327000
crd100,3,grasp_reativo,0,12345,8382,177,0.100000,15.481000
